date,file,title,category,tags
2023-09-17,md/by_category/finance/2023-09-17_cb4e6d86-d75_부동산-취득세와-비용.md,부동산 취득세와 비용,finance,finance
2023-12-18,md/by_category/life/2023-12-18_c6eddac5-f33_장각-여행-안내.md,장각 여행 안내,life,life
2023-12-19,md/by_category/philosophy/2023-12-19_3fe03863-9e8_이자-계산-및-저축.md,이자 계산 및 저축,philosophy,philosophy
2024-01-12,md/by_category/uncategorized/2024-01-12_c54bdc8f-128_드라마-이순신의-귀환.md,드라마: 이순신의 귀환,uncategorized,uncategorized
2024-01-13,md/by_category/philosophy/2024-01-13_769ac8ef-5c5_로또-번호-예측-불가능.md,로또 번호 예측 불가능,philosophy,philosophy
2024-12-23,md/by_category/ai-dev/2024-12-23_6768fbfc-4f2_Apartment-Management-Business-Ideas.md,Apartment Management Business Ideas,ai-dev,ai-dev
2024-12-28,md/by_category/philosophy/2024-12-28_676fce5a-bc4_AI-핵심-기술-요약.md,AI 핵심 기술 요약,philosophy,philosophy
2024-12-29,md/by_category/ai-dev/2024-12-29_67714d6b-b84_Learning-and-Tracking-Status.md,Learning and Tracking Status,ai-dev,ai-dev
2024-12-29,md/by_category/ai-dev/2024-12-29_6771500d-62c_I-Am-That-요약.md,I Am That 요약,ai-dev,ai-dev
2025-01-01,md/by_category/philosophy/2025-01-01_6775255e-ccf_AI-사피엔스-책-요약.md,AI 사피엔스 책 요약,philosophy,philosophy
2025-01-01,md/by_category/ai-dev/2025-01-01_6775262a-c4e_AI-사피엔스-요약.md,AI 사피엔스 요약,ai-dev,ai-dev
2025-01-15,md/by_category/philosophy/2025-01-15_6787a74d-847_명상-경험-공유.md,명상 경험 공유,philosophy,philosophy
2025-01-18,md/by_category/philosophy/2025-01-18_678b9e4d-e55_음악과-뇌과학.md,음악과 뇌과학,philosophy,philosophy
2025-01-19,md/by_category/philosophy/2025-01-19_678c58d1-f96_명상-경험-탐구.md,명상 경험 탐구,philosophy,philosophy
2025-01-19,md/by_category/ai-dev/2025-01-19_678c7c2f-1fd_천재성-이해-단계.md,천재성 이해 단계,ai-dev,ai-dev
2025-01-19,md/by_category/philosophy/2025-01-19_678c92fc-b88_명상-경험-탐구.md,명상 경험 탐구,philosophy,philosophy
2025-01-19,md/by_category/finance/2025-01-19_678caf25-498_명상과-내면-탐구.md,명상과 내면 탐구,finance,finance
2025-01-23,md/by_category/philosophy/2025-01-23_6791a714-167_명상에-관한-질문들.md,명상에 관한 질문들,philosophy,philosophy
2025-01-30,md/by_category/ai-dev/2025-01-30_679b1645-fb5_진화된-사회-그림.md,진화된 사회 그림,ai-dev,ai-dev
2025-01-30,md/by_category/philosophy/2025-01-30_679b17df-437_진화와-정의-논의.md,진화와 정의 논의,philosophy,philosophy
2025-01-30,md/by_category/ai-dev/2025-01-30_679b195e-432_진화와-정의의-기준.md,진화와 정의의 기준,ai-dev,ai-dev
